ars,parent_ars,type,gen,bez
059620004004,05962,gem,Altena,Stadt
059620008008,05962,gem,Balve,Stadt
059620016016,05962,gem,Hemer,Stadt
059620012012,05962,gem,Halver,Stadt
059620020020,05962,gem,Herscheid,Gemeinde
059620024024,05962,gem,Iserlohn,Stadt
059620028028,05962,gem,Kierspe,Stadt
059620044044,05962,gem,Nachrodt-Wiblingwerde,Gemeinde
059620032032,05962,gem,Lüdenscheid,Stadt
059620048048,05962,gem,Neuenrade,Stadt
059620036036,05962,gem,Meinerzhagen,Stadt
059620040040,05962,gem,Menden (Sauerland),Stadt
059620052052,05962,gem,Plettenberg,Stadt
059620056056,05962,gem,Schalksmühle,Gemeinde
059620060060,05962,gem,Werdohl,Stadt
